,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma5,ma_v_5,ma20,ma_v_20,ma60,ma_v_60
419,000001.SZ,20180918,9.6286,10.0145,9.5989,9.9749,9.589,0.38589999999999947,4.0244,1126807.42,1120867.543,9.7869,765638.942,9.8864,1067712.0115,9.2015,917413.5458
420,000001.SZ,20180919,9.9254,10.2322,9.9254,10.1333,9.9749,0.15840000000000032,1.588,1231548.77,1257191.505,9.8582,898982.864,9.9334,1080167.751,9.2228,920520.314
421,000001.SZ,20180920,10.1629,10.252,10.0838,10.1234,10.1333,-0.00990000000000002,-0.0977,620348.36,636742.814,9.9116,823107.414,9.9764,1074731.438,9.2468,912346.7195
422,000001.SZ,20180921,10.153,10.5885,10.0739,10.5588,10.1234,0.43539999999999957,4.3009,1624518.41,1707850.487,10.0759,1024061.058,10.0081,1003936.939,9.2752,928167.0317
423,000001.SZ,20180925,10.4103,10.5687,10.3708,10.44,10.5588,-0.11880000000000024,-1.1251,977014.7,1030715.785,10.2461,1116047.532,10.014,941866.463,9.3095,922525.2745
424,000001.SZ,20180926,10.4994,10.8062,10.4103,10.5984,10.44,0.15840000000000032,1.5172,1490513.43,1600626.208,10.3708,1188788.734,10.0348,951903.2725,9.3454,926119.8555
425,000001.SZ,20180927,10.539,10.727,10.4598,10.628,10.5984,0.029600000000000293,0.2793,880363.33,942200.398,10.4697,1118551.646,10.0581,950827.2645,9.3828,928940.0215
426,000001.SZ,20180928,10.6676,11.1525,10.6676,10.9348,10.628,0.3067999999999991,2.8867,2110242.67,2331358.288,10.632,1416530.508,10.1041,1006593.5115,9.4255,950181.2532
427,000001.SZ,20181008,10.5885,10.6775,10.3411,10.3411,10.9348,-0.5936999999999983,-5.4295,1686358.52,1793455.283,10.5885,1428898.53,10.1199,1025368.1755,9.4573,961815.8503
428,000001.SZ,20181009,10.351,10.5885,10.2817,10.4499,10.3411,0.10879999999999868,1.0521,1064084.26,1117946.55,10.5904,1446312.442,10.1382,1042987.605,9.4849,956051.3447
429,000001.SZ,20181010,10.4301,10.5489,10.2718,10.3411,10.4499,-0.10879999999999868,-1.0412,995200.08,1045666.18,10.539,1347249.772,10.1392,1027930.505,9.5115,957690.3123
430,000001.SZ,20181011,9.9452,10.0541,9.5989,9.7572,10.3411,-0.5839000000000016,-5.6464,1995143.83,1994186.611,10.3648,1570205.872,10.1298,1068715.038,9.5316,976754.4312
431,000001.SZ,20181012,9.8661,10.2322,9.7671,10.1926,9.7572,0.43540000000000134,4.4623,1516810.28,1532651.4,10.2164,1451519.394,10.1461,1108966.6745,9.555,983026.3973
432,000001.SZ,20181015,10.2817,10.3609,9.9848,10.0046,10.1926,-0.1880000000000006,-1.8445,1402685.3,1443043.059,10.1491,1394784.75,10.1511,1138649.1725,9.5753,996348.1822
433,000001.SZ,20181016,10.0343,10.4301,10.0145,10.2619,10.0046,0.25730000000000075,2.5718,1396921.05,1450020.371,10.1115,1461352.108,10.1753,1176645.7605,9.6024,1008132.7733
434,000001.SZ,20181017,10.3905,10.44,10.0343,10.2223,10.2619,-0.03960000000000008,-0.3859,1350889.83,1400306.336,10.0877,1532490.058,10.1961,1208541.8765,9.6289,1024391.665
435,000001.SZ,20181018,10.1827,10.1827,9.9551,9.9848,10.2223,-0.2375000000000007,-2.3234,1001156.05,1015654.821,10.1332,1333692.502,10.2065,1230358.221,9.6518,1032325.053
436,000001.SZ,20181019,9.8463,10.6676,9.8166,10.6478,9.9848,0.6630000000000003,6.6401,2083667.32,2173571.254,10.2243,1447063.91,10.2461,1284555.3065,9.6853,1059363.3018
437,000001.SZ,20181022,10.6973,11.3405,10.6676,11.0338,10.6478,0.38599999999999923,3.6252,2645543.12,2932714.47,10.4301,1695635.474,10.3109,1385844.953,9.719,1074217.7305
438,000001.SZ,20181023,11.0832,11.103,10.6181,10.727,11.0338,-0.3067999999999991,-2.7805,1602545.92,1759265.958,10.5231,1736760.448,10.3678,1440118.1325,9.7424,1071232.0248
439,000001.SZ,20181024,10.7864,11.2119,10.6874,10.9249,10.727,0.19789999999999885,1.8449,1829424.64,2026171.911,10.6637,1832467.41,10.4153,1475248.9935,9.7694,1077957.5328
